phone_number,account_length,intl_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churned
329-6603,0.2644628099173554,0.0,0.0,0.0,0.36728307254623044,0.8303030303030303,0.36730254350736274,0.6282650536156172,0.48823529411764705,0.6282756389517956,0.528607594936709,0.6342857142857142,0.5289814293753518,0.635,0.30000000000000004,0.6351851851851852,0.4444444444444444,1.0
344-9403,0.30165289256198347,0.0,0.0,0.0,0.5339971550497866,0.7696969696969697,0.5339692101740294,0.449271377508936,0.8705882352941177,0.44936913620187646,0.49620253164556966,0.5371428571428571,0.4963421496904896,0.455,0.25,0.45555555555555555,0.0,0.0
363-1107,0.6900826446280992,0.0,0.0,0.0,0.3664295874822191,0.5818181818181818,0.3664658634538152,0.2884245257080011,0.4176470588235294,0.28857974765448074,0.3572151898734177,0.7314285714285714,0.35734383792909397,0.5599999999999999,0.1,0.5592592592592592,0.1111111111111111,0.0
394-8006,0.38842975206611574,0.0,0.0,0.0,0.44551920341394025,0.5333333333333333,0.44544846050870146,0.680780863348914,0.4411764705882353,0.6810093820769978,0.4868354430379747,0.6571428571428571,0.48677546426561624,0.6150000000000001,0.25,0.6148148148148147,0.3333333333333333,0.0
366-9238,0.2520661157024794,0.0,0.0,0.0,0.34338549075391184,0.42424242424242425,0.3433734939759036,0.8446521858674731,0.44705882352941173,0.8447104496926561,0.5139240506329114,0.5657142857142857,0.5143500281373101,0.655,0.30000000000000004,0.6555555555555556,0.4444444444444444,0.0
351-7269,0.6611570247933884,0.0,0.0,0.0,0.9470839260312944,0.40606060606060607,0.946954484605087,0.8737970855100358,0.5705882352941176,0.8738272403752831,0.40658227848101264,0.7314285714285714,0.40686550365785035,0.27,0.45,0.27037037037037037,0.4444444444444444,1.0
350-8884,0.34710743801652894,0.0,1.0,0.5192307692307693,0.5587482219061167,0.8424242424242424,0.5587349397590361,0.7723398405279076,0.5294117647058824,0.7725655127790358,0.2260759493670886,0.42857142857142855,0.2262239729881823,0.6900000000000001,0.2,0.6907407407407407,0.1111111111111111,0.0
386-2923,0.38016528925619836,0.0,0.0,0.0,0.5425320056899005,0.6909090909090909,0.5425033467202142,0.5999450096233159,0.6529411764705882,0.6001294079585895,0.3281012658227848,0.6914285714285714,0.3280810354530107,0.405,0.15000000000000002,0.4055555555555555,0.3333333333333333,0.0
356-2992,0.30991735537190085,0.0,1.0,0.6346153846153847,0.5396870554765292,0.4,0.5396586345381527,0.5850976079186143,0.38235294117647056,0.5852474927208023,0.4194936708860759,0.6171428571428571,0.41980866629150254,0.5,0.25,0.5,0.1111111111111111,0.0
373-2782,0.2975206611570248,0.0,0.0,0.0,0.6384068278805122,0.5454545454545454,0.6383868808567603,0.43854825405554027,0.5176470588235293,0.43869297961824655,0.48810126582278485,0.4228571428571429,0.4884637028700056,0.65,0.1,0.6499999999999999,0.1111111111111111,0.0
396-5800,0.6033057851239669,0.0,0.0,0.0,0.4412517780938834,0.7090909090909091,0.44126506024096385,0.6590596645587022,0.5470588235294117,0.6590100291167907,0.528607594936709,0.76,0.5289814293753518,0.53,0.2,0.5296296296296296,0.0,0.0
393-7984,0.3140495867768595,0.0,0.0,0.0,0.177524893314367,0.5393939393939394,0.17754350736278446,0.46714324993126205,0.711764705882353,0.4671627305079262,0.5306329113924051,0.3657142857142857,0.5306696679797411,0.28500000000000003,0.30000000000000004,0.28518518518518515,0.5555555555555556,1.0
358-1958,0.5330578512396694,0.0,0.0,0.0,0.5206258890469417,0.6787878787878788,0.5205823293172691,0.20043992301347266,0.5823529411764706,0.20058233581365256,0.4602531645569621,0.44571428571428573,0.4603263927968486,0.47500000000000003,0.9500000000000001,0.47592592592592586,0.0,0.0
350-2565,0.4545454545454546,0.0,0.0,0.0,0.3140825035561878,0.6242424242424243,0.31408969210174026,0.3775089359362112,0.6,0.37754771918472985,0.48,0.6,0.4800225098480585,0.385,0.30000000000000004,0.3851851851851852,0.2222222222222222,0.0
343-4696,0.5413223140495868,0.0,0.0,0.0,0.23072546230440966,0.5212121212121212,0.23075635876840694,0.6741820181468243,0.4235294117647059,0.6742154642510515,0.6,0.6571428571428571,0.6004501969611705,0.515,0.1,0.5148148148148147,0.0,0.0
331-3698,0.7148760330578513,0.0,0.0,0.0,0.35362731152204835,0.46060606060606063,0.35358099062918336,0.7618916689579325,0.6588235294117647,0.7618893561954061,0.6346835443037975,0.6571428571428571,0.634777715250422,0.775,0.25,0.7759259259259259,0.3333333333333333,0.0
357-3817,0.23140495867768596,0.0,1.0,0.75,0.6059743954480797,0.696969696969697,0.6059236947791165,0.5254330492163871,0.6588235294117647,0.5253963118731801,0.46253164556962023,0.6571428571428571,0.46257737760270123,0.47500000000000003,0.15000000000000002,0.47592592592592586,0.0,0.0
418-6412,0.2190082644628099,0.0,0.0,0.0,0.38207681365576107,0.44242424242424244,0.3820281124497992,0.42755017871872425,0.5882352941176471,0.427693303138143,0.2584810126582278,0.38857142857142857,0.2583005064715813,0.735,0.2,0.7351851851851852,0.3333333333333333,0.0
353-2630,0.07851239669421488,0.0,0.0,0.0,0.5405405405405406,0.6606060606060606,0.5404953145917001,0.7099257629914765,0.49411764705882355,0.7101261727596248,0.45949367088607596,0.5828571428571429,0.4597636465953855,0.315,0.30000000000000004,0.31481481481481477,0.0,0.0
410-7789,0.19834710743801653,0.0,0.0,0.0,0.339402560455192,0.7090909090909091,0.3393574297188755,0.5914215012372834,0.6411764705882352,0.5913943707538014,0.4524050632911392,0.5142857142857142,0.4524479459763646,0.555,0.05,0.5555555555555556,0.1111111111111111,0.0
416-8428,0.5826446280991736,0.0,0.0,0.0,0.24125177809388337,0.5757575757575758,0.24129852744310576,0.3758592246356887,0.37058823529411766,0.3759301197023617,0.6341772151898735,0.8457142857142858,0.6342149690489589,0.71,0.30000000000000004,0.7092592592592593,0.2222222222222222,0.0
370-3359,0.3057851239669422,0.0,0.0,0.0,0.6432432432432432,0.6363636363636364,0.643239625167336,0.5540280450921089,0.6294117647058823,0.5541895826593335,0.6232911392405063,0.56,0.6235227912211593,0.515,0.25,0.5148148148148147,0.1111111111111111,0.0
383-1121,0.706611570247934,0.0,0.0,0.0,0.6031294452347085,0.7333333333333333,0.6030789825970548,0.08578498762716524,0.6764705882352942,0.08573277256551277,0.7425316455696203,0.44571428571428573,0.7428249859313449,0.63,0.5,0.6296296296296295,0.3333333333333333,0.0
360-1596,0.045454545454545456,0.0,0.0,0.0,0.710099573257468,0.7151515151515152,0.7100066934404283,0.6939785537530933,0.7,0.693950177935943,0.7093670886075949,0.5142857142857142,0.7096229600450197,0.5900000000000001,0.15000000000000002,0.5907407407407407,0.1111111111111111,1.0
395-2854,0.23140495867768596,0.0,1.0,0.4807692307692308,0.5029871977240399,0.5696969696969697,0.503012048192771,0.5361561726697828,0.4411764705882353,0.5363959883532837,0.540506329113924,0.6628571428571428,0.5407990996060776,0.41500000000000004,0.2,0.41481481481481486,0.0,0.0
362-1407,0.29338842975206614,0.0,1.0,0.7115384615384616,0.6258890469416786,0.48484848484848486,0.6258366800535475,0.5974704426725324,0.6,0.5975412487868004,0.38683544303797474,0.4057142857142857,0.3871693866066404,0.735,0.30000000000000004,0.7351851851851852,0.3333333333333333,0.0
341-9764,0.14462809917355374,0.0,1.0,0.576923076923077,0.4162162162162163,0.7757575757575758,0.41616465863453816,0.44679681055815235,0.47058823529411764,0.4467809770300874,0.32734177215189875,0.6228571428571429,0.3275182892515476,0.7250000000000001,0.30000000000000004,0.7259259259259259,0.0,0.0
353-3305,0.31818181818181823,0.0,0.0,0.0,0.37211948790896165,0.3878787878787879,0.3721552878179384,0.615067363211438,0.6823529411764706,0.6150113231963766,0.5767088607594937,0.6171428571428571,0.5768148564997186,0.5,0.25,0.5,0.1111111111111111,0.0
402-1381,0.5578512396694215,1.0,1.0,0.6346153846153847,0.5800853485064011,0.6424242424242425,0.5799866131191431,0.515809733296673,0.5823529411764706,0.5160142348754448,0.25746835443037974,0.6114285714285714,0.2577377602701182,0.525,0.30000000000000004,0.5259259259259259,0.3333333333333333,0.0
332-9891,0.6115702479338844,0.0,0.0,0.0,0.3994310099573258,0.5696969696969697,0.3994310575635877,0.7473192191366511,0.5411764705882353,0.7473309608540926,0.4767088607594937,0.6171428571428571,0.47664603263927974,0.555,0.45,0.5555555555555556,0.1111111111111111,0.0
372-9976,0.40082644628099173,0.0,0.0,0.0,0.3593172119487909,0.6181818181818182,0.35927041499330653,0.4586197415452296,0.5,0.45875121319961176,0.47544303797468357,0.7714285714285715,0.4755205402363534,0.47000000000000003,0.1,0.4703703703703703,0.3333333333333333,0.0
383-6029,0.5537190082644629,1.0,1.0,0.7884615384615385,0.49246088193456616,0.5151515151515151,0.4924698795180723,0.5606268902941985,0.6294117647058823,0.5606599805888062,0.30936708860759493,0.44571428571428573,0.3095104108047271,0.73,0.75,0.7296296296296296,0.0,1.0
353-7289,0.13636363636363635,0.0,0.0,0.0,0.355049786628734,0.49696969696969695,0.3550870147255689,0.7759142150123728,0.5764705882352941,0.7761242316402458,0.7886075949367088,0.44571428571428573,0.7889701744513224,0.5,0.2,0.5,0.2222222222222222,0.0
390-7274,0.6570247933884298,0.0,0.0,0.0,0.24409672830725462,0.4666666666666667,0.24414323962516732,0.4544954632939236,0.6470588235294118,0.4545454545454546,0.4518987341772152,0.5257142857142857,0.4518851997749015,0.45999999999999996,0.2,0.45925925925925926,0.3333333333333333,0.0
352-1237,0.2603305785123967,0.0,0.0,0.0,0.438122332859175,0.40606060606060607,0.4380856760374833,0.6208413527632665,0.6941176470588235,0.620834681332902,0.6716455696202532,0.49142857142857144,0.6719189645469893,0.17500000000000002,0.15000000000000002,0.1759259259259259,0.1111111111111111,0.0
353-3061,0.23966942148760334,0.0,1.0,0.5384615384615385,0.3439544807965861,0.5878787878787879,0.34387550200803213,0.585647511685455,0.5411764705882353,0.5858945325137496,0.4129113924050633,0.6628571428571428,0.41305571187394485,0.42500000000000004,0.25,0.4259259259259259,0.2222222222222222,0.0
363-5450,0.2644628099173554,0.0,0.0,0.0,0.6011379800853486,0.7272727272727273,0.6010709504685409,0.4470717624415727,0.7176470588235294,0.447104496926561,0.3410126582278481,0.6742857142857143,0.3410241980866629,0.66,0.25,0.6592592592592592,0.3333333333333333,0.0
364-1995,0.5826446280991736,0.0,0.0,0.0,0.5320056899004267,0.806060606060606,0.5319611780455153,0.3700852350838603,0.43529411764705883,0.3701067615658363,0.6131645569620253,0.7257142857142858,0.6133933595948228,0.37000000000000005,0.25,0.37037037037037035,0.2222222222222222,0.0
398-1294,0.487603305785124,0.0,0.0,0.0,0.45263157894736844,0.6909090909090909,0.4526439089692102,0.6359637063513885,0.6882352941176471,0.6360401164671627,0.36253164556962025,0.52,0.3624085537422623,0.44000000000000006,0.15000000000000002,0.4407407407407407,0.5555555555555556,1.0
405-7146,0.39669421487603307,0.0,1.0,0.46153846153846156,0.37894736842105264,0.8181818181818182,0.3788487282463186,0.5971954907891118,0.3411764705882353,0.5972177288903268,0.17873417721518986,0.4514285714285714,0.17895329206527857,0.55,0.15000000000000002,0.55,0.1111111111111111,0.0
413-4957,0.21074380165289258,0.0,0.0,0.0,0.545945945945946,0.6545454545454545,0.5458500669344042,0.7418201814682431,0.5647058823529412,0.7418311226140407,0.599493670886076,0.49714285714285716,0.5998874507597074,0.39,0.25,0.3907407407407407,0.3333333333333333,0.0
420-5645,0.243801652892562,0.0,0.0,0.0,0.6275960170697013,0.34545454545454546,0.6275100401606426,0.5804234259004674,0.6764705882352942,0.5803946942736978,0.6303797468354431,0.7371428571428571,0.6308384918401801,0.34,0.15000000000000002,0.34074074074074073,0.1111111111111111,0.0
349-4396,0.0371900826446281,0.0,0.0,0.0,0.5294452347083927,0.6787878787878788,0.5294511378848729,0.5229584822656035,0.38823529411764707,0.5231316725978649,0.7159493670886077,0.32571428571428573,0.7163759144625774,0.5700000000000001,0.30000000000000004,0.5703703703703703,0.2222222222222222,0.0
404-3211,0.3925619834710744,0.0,0.0,0.0,0.4557610241820768,0.7090909090909091,0.45565595716198126,0.7354962881495738,0.3941176470588235,0.7356842445810416,0.5784810126582278,0.38857142857142857,0.578503095104108,0.4650000000000001,0.25,0.46481481481481474,0.2222222222222222,0.0
353-3759,0.3553719008264463,0.0,0.0,0.0,0.4295874822190612,0.503030303030303,0.42955153949129854,0.6040692878746219,0.6823529411764706,0.6040116467162732,0.5162025316455696,0.7257142857142858,0.5166010129431626,0.485,0.15000000000000002,0.48518518518518516,0.5555555555555556,1.0
363-5947,0.3305785123966942,0.0,0.0,0.0,0.4992887624466572,0.40606060606060607,0.499330655957162,0.6854550453670608,0.5,0.6855386606276287,0.6840506329113923,0.56,0.6842993809791784,0.51,0.15000000000000002,0.5092592592592592,0.1111111111111111,0.0
340-5121,0.578512396694215,0.0,0.0,0.0,0.3610241820768137,0.593939393939394,0.3609437751004016,0.4949133901567226,0.36470588235294116,0.49498544160465874,0.3564556962025317,0.7314285714285714,0.35678109172763084,0.4,0.1,0.4,0.1111111111111111,0.0
370-7574,0.49586776859504134,0.0,1.0,0.576923076923077,0.5644381223328592,0.7818181818181819,0.5644243641231592,0.20703876821556227,0.45294117647058824,0.20705273374312522,0.45873417721518983,0.44,0.45863815419245924,0.29,0.15000000000000002,0.29074074074074074,0.3333333333333333,1.0
403-9733,0.2768595041322314,0.0,0.0,0.0,0.42332859174964443,0.42424242424242425,0.42336010709504684,0.6777563926312895,0.9647058823529412,0.6777741831122613,0.3286075949367089,0.5885714285714285,0.32864378165447383,0.605,0.15000000000000002,0.6055555555555555,0.3333333333333333,0.0
355-7251,0.5123966942148761,0.0,0.0,0.0,0.6523470839260314,0.6242424242424243,0.6522757697456492,0.48776464118779217,0.7411764705882353,0.4878680038822388,0.47924050632911397,0.5428571428571428,0.47945976364659537,0.6000000000000001,0.4,0.6,0.1111111111111111,0.0
359-5893,0.7148760330578513,0.0,0.0,0.0,0.5465149359886202,0.5878787878787879,0.5465194109772422,0.46714324993126205,0.5529411764705883,0.4671627305079262,0.4217721518987342,0.30857142857142855,0.4220596510973551,0.5700000000000001,0.2,0.5703703703703703,0.1111111111111111,0.0
405-3371,0.47520661157024796,0.0,1.0,0.6538461538461539,0.7641536273115221,0.503030303030303,0.7640562248995983,0.48996425625515533,0.8352941176470589,0.4901326431575542,0.4210126582278481,0.6057142857142858,0.42093415869442885,0.58,0.15000000000000002,0.5796296296296296,0.2222222222222222,0.0
344-5117,0.30165289256198347,0.0,1.0,0.6346153846153847,0.5510668563300142,0.5515151515151515,0.5510374832663989,0.676656585097608,0.5647058823529412,0.6768036234228406,0.34936708860759497,0.5257142857142857,0.34946539110861,0.73,0.15000000000000002,0.7296296296296296,0.2222222222222222,0.0
332-8160,0.6115702479338844,0.0,1.0,0.5384615384615385,0.5140825035561878,0.5575757575757576,0.5140562248995983,0.516359637063514,0.3764705882352941,0.5163377547719185,0.6721518987341772,0.3028571428571429,0.6724817107484524,0.63,0.15000000000000002,0.6296296296296295,0.3333333333333333,0.0
359-4081,0.15289256198347106,0.0,0.0,0.0,0.3732574679943101,0.593939393939394,0.3731593038821955,0.44789661809183395,0.5705882352941176,0.4480750566159819,0.40253164556962023,0.6057142857142858,0.4023635340461452,0.41,0.30000000000000004,0.4092592592592592,0.2222222222222222,0.0
352-8305,0.16115702479338845,0.0,1.0,0.7884615384615385,0.4213371266002845,0.4484848484848485,0.42135207496653276,0.46604344239758044,0.5176470588235293,0.46619217081850534,0.5420253164556962,0.5828571428571429,0.541924592009004,0.31000000000000005,0.25,0.30925925925925923,0.2222222222222222,0.0
329-9847,0.1735537190082645,1.0,0.0,0.0,0.7155049786628734,0.6363636363636364,0.715528781793842,0.5850976079186143,0.611764705882353,0.5852474927208023,0.399493670886076,0.38285714285714284,0.3995498030388295,0.4650000000000001,0.2,0.46481481481481474,0.0,0.0
365-9011,0.4628099173553719,1.0,0.0,0.0,0.35618776671408253,0.5636363636363636,0.356091030789826,0.5675006873797086,0.7,0.5674538984147525,0.32734177215189875,0.7942857142857143,0.3275182892515476,0.41500000000000004,0.4,0.41481481481481486,0.0,0.0
338-9472,0.5165289256198348,0.0,0.0,0.0,0.6019914651493599,0.42424242424242425,0.6019076305220883,0.5963706351388507,0.47058823529411764,0.5965706890973795,0.3886075949367089,0.34285714285714286,0.38885762521102984,0.39,0.05,0.3907407407407407,0.1111111111111111,0.0
374-8042,0.615702479338843,0.0,0.0,0.0,0.5089615931721195,0.6121212121212121,0.5088688085676037,0.4649436348638988,0.6470588235294118,0.4648980912326108,0.3762025316455696,0.5714285714285714,0.3764772087788408,0.6900000000000001,0.15000000000000002,0.6907407407407407,0.4444444444444444,1.0
359-1231,0.5661157024793388,0.0,0.0,0.0,0.6879089615931722,0.5636363636363636,0.6879183400267738,0.46879296123178443,0.48823529411764705,0.4687803299902944,0.7475949367088608,0.5942857142857143,0.7478897017445132,0.5900000000000001,0.35000000000000003,0.5907407407407407,0.3333333333333333,0.0
413-7170,0.6652892561983471,0.0,1.0,0.8846153846153847,0.6398293029871978,0.5878787878787879,0.6397255689424364,0.5174594445971955,0.49411764705882355,0.517631834357813,0.6445569620253164,0.3485714285714286,0.6449071468767587,0.605,0.1,0.6055555555555555,0.0,0.0
415-2935,0.6033057851239669,0.0,0.0,0.0,0.7072546230440967,0.503030303030303,0.7071619812583667,0.40940335441297776,0.5,0.40957618893561953,0.43670886075949367,0.6228571428571429,0.43669105233539673,0.4,0.2,0.4,0.3333333333333333,0.0
399-4246,0.3677685950413223,0.0,0.0,0.0,0.5786628733997156,0.8848484848484849,0.5786479250334672,0.62331591971405,0.6882352941176471,0.623422840504691,0.3858227848101266,0.6,0.38604389420371416,0.365,0.2,0.3648148148148148,0.1111111111111111,0.0
362-5889,0.34710743801652894,0.0,0.0,0.0,0.6708392603129446,0.6606060606060606,0.6708500669344043,0.43222436073687104,0.5529411764705883,0.43222258168877387,0.47645569620253164,0.5657142857142857,0.47664603263927974,0.6000000000000001,0.15000000000000002,0.6,0.0,0.0
350-8921,0.2024793388429752,0.0,0.0,0.0,0.4469416785206259,0.5454545454545454,0.446954484605087,0.6139675556777564,0.4235294117647059,0.6140407635069557,0.45924050632911395,0.6342857142857142,0.45920090039392236,0.305,0.1,0.3055555555555555,0.1111111111111111,0.0
374-5353,0.3347107438016529,0.0,0.0,0.0,0.8543385490753913,0.6606060606060606,0.8542503346720214,0.4976629089909266,0.5882352941176471,0.4978971206729214,0.6837974683544304,0.41714285714285715,0.6837366347777153,0.585,0.2,0.5851851851851851,0.0,1.0
360-1171,0.5909090909090909,0.0,0.0,0.0,0.17524893314367,0.7090909090909091,0.17520080321285142,0.21198790211712948,0.5,0.2119055321902297,0.4379746835443038,0.5657142857142857,0.43837929093978617,0.41,0.35000000000000003,0.4092592592592592,0.4444444444444444,1.0
355-8887,0.1859504132231405,0.0,0.0,0.0,0.6091038406827881,0.43636363636363634,0.6091030789825971,0.45202089634313997,0.611764705882353,0.4519572953736655,0.44936708860759494,0.6457142857142857,0.449634214969049,0.41,0.15000000000000002,0.4092592592592592,0.2222222222222222,0.0
333-1967,0.2851239669421488,0.0,0.0,0.0,0.4842105263157895,0.593939393939394,0.484103078982597,0.426725323068463,0.6,0.4267227434487221,0.5787341772151898,0.4342857142857143,0.5790658413055711,0.75,0.1,0.7499999999999999,0.1111111111111111,0.0
354-4577,0.5909090909090909,0.0,0.0,0.0,0.5721194879089616,0.6,0.5721218206157965,0.8344789661809183,0.43529411764705883,0.8346813329019735,0.5670886075949367,0.68,0.5672481710748453,0.66,0.1,0.6592592592592592,0.1111111111111111,0.0
331-7425,0.47520661157024796,1.0,0.0,0.0,0.6128022759601708,0.6303030303030303,0.6127844712182061,0.5631014572449822,0.4647058823529412,0.5632481397605953,0.7050632911392405,0.6228571428571429,0.7051209904333146,0.63,0.25,0.6296296296296295,0.3333333333333333,0.0
419-2637,0.22314049586776863,0.0,1.0,0.4807692307692308,0.47112375533428164,0.7454545454545455,0.47105087014725566,0.37420951333516633,0.5588235294117647,0.37431252021999356,0.4448101265822785,0.5142857142857142,0.44513224535734386,0.55,0.1,0.55,0.3333333333333333,0.0
411-1530,0.2851239669421488,0.0,1.0,0.46153846153846156,0.7098150782361309,0.6121212121212121,0.7098393574297189,0.7140500412427825,0.5764705882352941,0.7140084115173083,0.5637974683544303,0.38857142857142857,0.5638716938660664,0.49000000000000005,0.2,0.4907407407407407,0.1111111111111111,0.0
395-3026,0.43388429752066116,0.0,0.0,0.0,0.5991465149359886,0.5818181818181818,0.5990629183400267,0.6851800934836403,0.5,0.685215140731155,0.4845569620253165,0.5028571428571429,0.4845244794597636,0.6200000000000001,0.05,0.6203703703703703,0.2222222222222222,1.0
388-6441,0.5247933884297521,0.0,1.0,0.5576923076923077,0.510099573257468,0.6303030303030303,0.5100401606425703,0.6211163046466869,0.5058823529411764,0.6211582012293756,0.8177215189873418,0.44571428571428573,0.8182329769274057,0.43,0.35000000000000003,0.4296296296296296,0.0,0.0
402-1251,0.3842975206611571,0.0,0.0,0.0,0.4492176386913229,0.6363636363636364,0.44912985274431055,0.4261754193016222,0.5941176470588235,0.42639922355224846,0.48,0.48,0.4800225098480585,0.4,0.25,0.4,0.4444444444444444,1.0
412-9997,0.4545454545454546,0.0,0.0,0.0,0.6096728307254624,0.7151515151515152,0.6096050870147256,0.573274676931537,0.44705882352941173,0.5732772565512779,0.4617721518987342,0.56,0.4620146314012381,0.6000000000000001,0.1,0.6,0.1111111111111111,0.0
346-7302,0.30165289256198347,0.0,1.0,0.6730769230769231,0.4384068278805121,0.6303030303030303,0.4384203480589023,0.3392906241407754,0.49411764705882355,0.33937237140084114,0.5116455696202532,0.32571428571428573,0.5115362971299944,0.545,0.45,0.5444444444444444,0.2222222222222222,0.0
358-9095,0.5247933884297521,0.0,0.0,0.0,0.6768136557610243,0.7575757575757576,0.6767068273092369,0.680780863348914,0.5470588235294117,0.6810093820769978,0.528860759493671,0.38857142857142857,0.5289814293753518,0.6950000000000001,0.2,0.6944444444444444,0.1111111111111111,1.0
400-9770,0.3347107438016529,0.0,0.0,0.0,0.4093883357041252,0.3696969696969697,0.4093038821954485,0.5358812207863624,0.6176470588235294,0.5360724684568101,0.27746835443037976,0.5371428571428571,0.27743387732132807,0.555,0.1,0.5555555555555556,0.1111111111111111,0.0
334-1275,0.6363636363636364,0.0,0.0,0.0,0.5786628733997156,0.6060606060606061,0.5786479250334672,0.5248831454495464,0.611764705882353,0.5250727919767066,0.49620253164556966,0.68,0.4963421496904896,0.44500000000000006,0.2,0.4444444444444444,0.0,1.0
340-4953,0.32644628099173556,0.0,0.0,0.0,0.35362731152204835,0.6060606060606061,0.35358099062918336,0.4756667583172945,0.6294117647058823,0.47589776771271436,0.641012658227848,0.35428571428571426,0.6409679234665167,0.395,0.45,0.3944444444444444,0.1111111111111111,0.0
400-9510,0.31818181818181823,0.0,0.0,0.0,0.7194879089615932,0.5636363636363636,0.7193775100401607,0.49051416002199616,0.6588235294117647,0.49045616305402784,0.6681012658227847,0.6,0.6685424873382105,0.47500000000000003,0.35000000000000003,0.47592592592592586,0.3333333333333333,0.0
387-6103,0.3677685950413223,0.0,0.0,0.0,0.5095305832147937,0.4303030303030303,0.5095381526104418,0.5240582897992851,0.4764705882352941,0.5241022322872857,0.32329113924050634,0.52,0.3235790658413056,0.53,0.35000000000000003,0.5296296296296296,0.3333333333333333,0.0
366-4467,0.4256198347107438,0.0,0.0,0.0,0.7920341394025604,0.6424242424242425,0.7920013386880856,0.22271102557052516,0.6647058823529411,0.22290520867033323,0.4131645569620253,0.7828571428571428,0.41305571187394485,0.49000000000000005,0.25,0.4907407407407407,0.1111111111111111,0.0
370-3450,0.2975206611570248,0.0,0.0,0.0,0.4554765291607397,0.6666666666666666,0.45548862115127176,0.5864723673357163,0.4235294117647059,0.5865415723066968,0.44075949367088607,0.4114285714285714,0.44063027574563873,0.65,0.2,0.6499999999999999,0.0,0.0
327-3954,0.40495867768595045,0.0,0.0,0.0,0.5638691322901849,0.5272727272727272,0.5637550200803212,0.5699752543304922,0.44705882352941173,0.5700420575865416,0.4832911392405064,0.6457142857142857,0.48339898705683737,0.435,0.15000000000000002,0.4351851851851852,0.4444444444444444,0.0
355-6291,0.49173553719008267,0.0,0.0,0.0,0.6034139402560456,0.793939393939394,0.603413654618474,0.5757492438823206,0.611764705882353,0.575865415723067,0.4232911392405063,0.5485714285714286,0.42318514350028136,0.265,0.25,0.2648148148148148,0.1111111111111111,1.0
